20000 30000
323 16424 -6086
3606 17822 -14088
7462 5145 -4742
7643 6627 1376
4347 11750 -13850
2882 6871 -16576
10952 4225 -13458
10229 11828 3394
14400 15755 12034
1725 4788 3952
4687 6503 -1416
17284 1235 -15940
12182 5216 -15238
8085 8384 302
12395 5570 -11988
13876 269 13992
12648 532 -3310
6169 10175 15738
13904 12206 -2558
12768 1600 -9936
18947 651 4182
11491 1775 -1854
13224 5209 -18482
13854 19577 -2198
10328 16966 -6566
15465 18306 13754
11062 8877 2286
6541 461 -11984
14738 18643 -4760
2979 7770 10036
8109 10556 3854
5373 6138 -3278
1493 12215 3082
11647 17926 -2310
80 7153 11482
510 6047 -10536
4056 11290 4074
8035 13085 -6366
1484 16150 14322
1837 7769 -18800
7844 5203 222
6177 1049 -18644
2483 7265 -4246
445 3168 19310
15246 7093 19352
289 6006 -6958
6906 19237 3710
17346 10690 1598
8306 7290 16860
9739 11435 3946
54 17845 -18098
6562 542 11486
4656 19726 17532
1779 19464 -18378
2386 10746 -12790
16895 12291 16218
5452 8511 17294
6346 2257 18874
9268 9688 13626
3359 18379 -18692
7041 6659 -10140
1538 10970 11296
3474 10142 -1302
18142 9075 -9874
12197 6441 -5240
15168 9379 -16444
19375 9996 -10516
6070 16220 9864
7907 11651 -7062
11272 10486 -4846
6779 19049 -8892
17037 12071 -1684
6421 2324 3942
10693 2752 -3046
9482 15397 -6678
12704 5324 418
5505 16662 -7890
8759 3021 -6864
7411 9834 -11650
12237 10204 -19988
11383 9198 -1716
11042 5735 -19782
14828 10538 -19070
9766 3001 17050
6280 7444 -6058
3412 848 -17908
68 3589 6350
6164 6675 -17492
13000 3453 -19868
4630 5757 -1724
4833 3769 -7606
1865 3812 -11484
11207 2570 -2926
630 16438 -2148
6364 5198 -790
1450 3278 794
2925 4534 -14490
10067 1836 -10812
4795 3297 -13792
10715 403 -5668
2837 7227 -12134
11722 13499 -6018
269 7825 -14442
13581 12214 4548
2315 16837 -7224
9312 3424 7662
16587 17224 -19672
12933 10128 -4792
7497 4891 -19154
11984 861 -3144
14701 1259 7708
8303 3062 -12638
14799 6538 -492
1302 587 -18150
12395 5125 1426
11074 4074 -9132
12225 4851 8596
9885 10015 -19206
6229 1200 -16694
7988 8319 -15404
3974 11671 9680
12230 3808 2188
1461 4581 -13038
8545 7409 -810
18558 7618 -18016
15033 18887 -486
2180 4102 -2498
4471 260 4518
1795 16085 -7534
11823 2361 -7570
14155 12649 -15962
1605 5532 -6200
18724 11256 -19292
17248 17570 12120
2907 9734 -18856
8068 2973 3784
14270 4319 -16328
15658 14003 -17452
303 580 -4458
15238 5380 -1646
10397 16059 -8826
15491 7518 5402
11553 15296 -19772
1374 4646 2640
5266 3748 -11422
4096 2607 -7240
1450 16255 -2132
5039 2536 -18242
8309 4612 13416
3430 6540 7278
11742 11701 -8272
9241 6719 -17662
12092 12743 -2370
14480 3281 -12546
1223 7094 -6720
1280 5193 5442
16125 3585 -16962
1026 6822 3338
5538 2045 -16106
16926 8204 -19900
19649 384 3518
19341 17122 12206
10871 10682 -10448
4523 7758 14972
10090 4755 -7618
9986 19173 -11184
19325 2689 -18308
10412 17492 -11544
2055 8346 -2464
8476 10064 -2690
2733 2032 6560
5113 6399 7086
788 2223 6696
6312 4776 -636
17190 6080 4712
7827 12100 4456
17752 9429 -19096
9815 15819 12422
7362 9007 6784
1445 11916 -5690
12218 8863 450
551 11026 1558
7767 4492 -5460
4569 13132 4130
10404 3171 3038
16303 8456 17548
7952 2243 -16188
13182 6245 -8230
2811 18336 -12258
10857 17001 12380
13037 12107 5668
1847 4287 14882
15582 877 -3942
18340 15231 -394
11192 462 298
14951 12449 -5212
3325 2052 532
2505 15802 2710
3370 16953 14766
5531 16213 11862
924 18350 -2892
18860 11823 12124
510 6884 -9288
4984 12186 11020
9896 8751 4354
215 17139 7656
7285 5635 3704
10118 938 3352
1017 1876 -4140
5044 8887 -13068
10026 9965 12286
14236 9421 -7716
4586 4124 1872
953 5094 -19100
3606 5163 18418
7469 2717 19240
1909 9157 -16606
7736 8253 -2972
9383 9701 -1394
1522 5021 -18164
2162 7511 -5200
11047 12746 -13056
4957 19721 2772
8346 9588 2608
15249 10709 -19628
12428 10441 15734
18662 12093 4808
18063 1423 436
14999 3555 -17066
19948 5979 -19240
10875 2374 -2782
17194 17941 -18624
5462 11762 14628
8565 16904 -4068
1402 14713 -14768
6969 3724 -1058
13584 7091 4614
8937 8439 13048
12261 12801 -14364
12942 12269 1808
17614 9083 -5352
10414 15115 -16526
9403 7217 -10538
7051 1476 -13710
10683 19155 -7868
18611 9697 -6968
3318 18892 15918
19213 5164 -3454
14471 8290 -8774
16709 9000 2618
549 10643 -11314
13270 10728 -4920
15129 62 -11422
4082 96 -2204
10795 15438 4440
7774 12484 32
12564 7184 -3746
10333 8374 -610
7960 4413 15798
3196 18477 3804
6318 17447 5174
5123 2015 -14070
1351 12225 708
9712 1551 -3690
5741 4640 -19232
6156 339 2162
13240 8294 11540
7349 11214 -15664
10660 9235 -4254
5717 5228 -7842
687 9843 -17314
5381 40 -9150
12813 10432 7970
9981 10751 -13072
9357 17588 6520
14924 9257 15030
2119 1563 -14196
16238 2971 -11534
7405 8743 3348
7152 1294 2402
5906 13397 -15724
10733 1665 -4486
14850 14981 -16268
6784 1791 -15426
72 11021 4646
6725 4419 7420
9263 7699 -8670
10332 12487 -13088
2462 17302 -14682
5904 4831 10462
6599 12232 11432
16614 3862 -12984
15900 12457 5284
15111 11709 -12648
3527 6593 -13816
711 4281 13450
90 15502 -6444
3627 14568 -12534
9457 4675 -9032
4867 3000 2008
6268 2182 -19384
5300 6154 -18992
8650 11376 -18158
18753 18256 18972
11215 540 4964
7385 18380 -2276
1047 19405 2644
8117 4851 4056
11749 6733 -2406
5281 2380 17106
12820 17362 -8174
6416 11997 4022
7821 8693 -13600
7977 7392 -14314
12981 6899 4400
2889 5849 -9760
7223 10427 -1302
6165 6570 -5708
8288 4526 -3234
12301 10868 480
13671 4991 -12386
12572 253 -10076
9387 11862 -2550
14276 14271 7980
14232 3393 -19826
8494 3887 -15372
15346 16222 476
15589 3435 18122
13395 19797 -19466
12553 11135 -7018
16316 9641 3498
2429 481 -19616
8496 10086 -1176
11164 7050 9468
8688 11600 -6156
3227 6528 -7858
141 12647 -12338
4155 3528 -8150
8466 6965 -15398
15519 9562 12554
5997 8897 13406
11460 19181 2710
11266 18055 -12714
5443 10993 -6226
12851 2553 3282
13423 13661 -1346
14006 1014 -6606
19337 1455 11164
9758 19937 3168
2172 8431 -14786
12247 11833 -5568
12199 5571 976
10407 3874 -18380
7193 12486 -158
9499 8349 -18352
9071 8387 3766
1978 18375 -4186
12595 6700 -14322
3969 11441 -16912
5827 16382 -12410
11570 17133 11058
9630 4528 3078
146 17711 88
7097 15969 284
17304 1033 -976
2759 8610 -4272
9782 2604 -15760
16747 10062 4874
6237 2457 -9010
1402 9133 -17018
8437 8834 -13254
1249 13912 -13446
14230 4527 -9658
10927 7348 -17104
12592 3709 -6124
11522 12066 -646
7417 11355 19028
15481 3664 9954
9823 4517 -10070
5272 1912 2212
7189 3447 -458
12177 18441 -10232
7500 652 7284
7394 16302 -19422
3446 6200 15322
672 11251 19976
175 1015 -600
5280 1336 -12776
11674 531 -16166
3467 11020 3350
5772 465 -588
16217 11626 -3408
3246 16813 -16008
3907 8340 -7862
18411 12141 -714
15632 18225 10618
2828 13032 -7854
19341 8715 11838
10134 7131 4474
3336 14130 -12994
11641 2602 -11690
10894 4465 -14110
8921 9551 8870
821 10402 5720
17690 8943 -8830
6875 14651 14674
6933 17869 7162
1413 134 8076
6200 10097 -3812
2143 5233 3890
12389 9497 -8118
5069 2509 -17050
1973 16469 2654
653 7760 -6458
16854 7133 -1362
15800 13898 4
19053 12217 12992
104 3677 -19898
5792 5147 -14014
15181 10230 -18560
6032 4605 3676
5904 1511 -6726
13578 9398 18582
19327 12198 -11594
1918 5071 5564
2319 11873 -13296
3102 10459 -18318
14490 17993 -3926
7077 13563 -10756
17828 10110 14774
17160 14741 -1346
14796 9605 -934
19512 2641 -17516
3984 1742 16428
19637 15153 9418
19441 7987 11028
15024 10776 -15674
11231 2648 17830
2570 10894 -19080
3491 184 13650
4904 10707 10198
6520 5305 -16292
19266 616 -11906
7266 16677 8722
1204 9523 5320
807 6876 -6172
19565 19782 -15524
8639 9266 -8088
10050 797 8404
12169 19835 -17844
5254 4770 -8050
9678 10327 19742
12404 348 -12772
6201 11093 -15060
9428 18392 4554
1037 5035 3784
18268 12297 -14040
9691 18000 -52
4579 626 -15620
14287 2464 17118
9465 8953 -1888
2182 12722 -15704
14723 115 -3216
9005 7423 2448
6802 3527 12666
9911 3355 -2920
1442 418 3352
19247 19297 -17376
2289 6435 18364
11891 13925 -2910
2534 3800 -16258
19446 10030 12798
257 14811 -19534
6844 990 -13038
13614 12972 -16070
11789 5369 14040
16619 6440 -6302
14583 8997 -7148
4106 12222 -2260
10448 18908 -13574
4750 6044 -11770
10364 3364 9160
15832 5411 -3334
16605 9936 14626
2782 3593 -9208
19391 19246 -12772
11809 3792 -14978
6074 11600 -15656
2303 11348 13810
10429 5306 -4950
6035 3177 -7932
2566 815 13380
14049 539 1132
12331 8574 -14910
8672 8588 -12930
4388 4119 -9522
11486 14212 -12490
3035 5263 -3054
791 8857 -3390
19301 11716 1962
7411 18408 18586
3791 6552 5492
6306 2723 -964
5972 321 5244
2780 13728 4834
6467 12346 4612
11425 8701 -2134
6567 449 9194
17363 4366 -2530
12661 1123 -2234
933 10430 4050
771 19392 2222
5257 7917 -16888
17144 6386 -9236
14863 1334 -10756
6256 2747 19902
13798 10716 -16880
2008 938 -11590
8426 8757 4644
8639 18958 2388
12287 19240 -14908
1295 17013 12892
3494 9081 5946
9337 18670 270
15062 14042 -8110
2473 5180 10166
8535 5080 3608
12681 14598 -18364
19798 2272 -5894
2837 11908 6220
18669 18254 19316
15595 9077 -10332
1263 16959 -9588
12300 5163 9930
9814 616 -6046
5846 14536 -2880
5711 2937 -11498
1094 227 -3614
15986 369 -638
5384 1300 14710
17218 6523 14122
1690 9583 -12566
16949 3805 -10628
10768 12887 -15628
7468 7145 5514
9013 14588 3240
5282 8307 18686
5857 9968 -5920
12260 11405 -8154
6558 4930 -14922
1734 7104 4136
7316 12540 5548
14740 9917 -236
9705 8219 976
5811 10809 334
10462 5332 3432
18606 4652 15170
10010 3843 -19146
5823 6863 -1298
6164 8291 -10270
18993 4979 -7562
8379 6833 1718
7196 9594 1506
1051 4428 -3398
1053 18432 16002
9826 2645 -17770
3737 6622 -18464
2388 1755 -5830
14387 2079 15100
9852 13971 6492
1721 13122 -3474
10023 10987 -4180
7378 3912 -9800
893 5119 11184
2739 15795 3418
6607 7161 -2440
2765 10312 2938
13131 9370 3948
15626 10835 -12878
1254 3719 376
9617 3124 -17414
12585 8236 -17856
12334 4999 6716
8465 12307 10000
2742 1482 -9330
8193 11426 16826
211 2337 -5008
2574 17625 -6778
8195 19177 -4118
19381 1355 8942
8496 14634 -3920
17660 5767 17114
10119 16532 -10152
16616 18222 15808
5787 10899 -8134
11051 14496 3872
12469 19715 -7890
4743 5678 -3000
9668 16702 -1432
17766 16660 8534
16865 6026 12230
381 14785 -17632
15887 9768 17378
894 3485 -6466
10905 8076 14518
14390 16108 -7802
16406 504 -18212
535 17277 7342
9094 6466 -822
9011 4004 5800
1727 9389 -15736
19064 3639 3320
9187 2184 -16774
17296 14433 -10554
8345 8196 -6192
6222 2123 9394
10397 41 -10910
16113 3780 -4346
8445 13609 -17200
8161 3286 15766
11980 19435 4604
18227 1067 3470
6499 15904 6606
6075 2122 -10854
9712 829 -5742
2385 4435 -1446
4995 628 4522
6837 10762 -11642
2000 11007 -13314
6933 3662 2704
11182 11935 11110
16388 1225 -10168
14992 1042 -19614
2049 8516 -18526
13036 153 8588
867 5827 -6438
13809 3873 -9514
6110 879 -3554
6967 9925 18290
5346 9436 -17722
7117 1583 18602
8516 9170 4938
10552 18714 -14736
11758 280 6606
4467 12674 -7144
10475 2586 -14854
8800 5871 -3882
802 379 384
1761 4784 -9726
16240 5368 -6232
3402 8842 -1312
4942 12035 -3638
2752 13320 -11354
8459 14589 -1590
6224 16074 -7432
3623 9123 -16876
13636 5924 -15662
112 1240 -18894
2667 4274 12262
4879 1153 -8360
4612 10285 -1114
15011 10861 -7268
8304 11289 -19956
1509 3026 -3776
11639 10318 -7038
11041 11190 -6578
6087 10095 13340
9743 3188 -8144
1201 15005 -7288
3180 11550 360
12653 10097 -12916
19910 4365 -532
4060 18566 1864
1399 188 -12474
16365 2288 18396
1506 6179 -15828
13594 4762 -14844
12338 12781 -18740
14715 6783 -838
11270 3836 -13972
18522 2904 -3170
10935 15382 -11444
10802 987 -11444
14799 10039 1616
9017 2042 986
7957 7320 -18418
17742 5663 5534
17529 7530 -650
476 16802 -6198
2108 3509 10170
2252 8839 18844
11346 10046 -14454
14379 7141 -12016
16330 5955 8800
15809 6084 -4468
4162 8008 -2198
10704 13976 -7148
3125 5166 -16618
793 14145 -3136
5946 2729 -5392
1136 7417 1466
7000 14035 3156
6449 10485 -13926
18107 6697 -17580
938 17249 -876
2531 17018 -8120
19031 5097 -6024
170 10320 -14274
12110 3624 10540
4606 11668 -5268
9089 4812 8814
13395 9317 -5468
19552 5753 -10204
445 10422 -15966
10892 18964 2504
3770 12683 2840
78 14583 3654
16105 149 -10866
5878 7543 -10256
13865 9240 1136
8142 8142 -16280
13038 16290 -15390
30 11754 -9924
3797 11032 -18932
15547 639 4464
19745 5256 -19064
19386 5529 8082
14227 9410 7674
17106 14598 -758
17491 1284 19754
8505 1128 -19092
8667 826 18252
8008 5901 -6244
14939 2501 -16558
12251 136 -946
12667 8359 -11284
7023 14390 13442
19136 9796 17410
11246 8093 -1162
9311 10902 5688
201 6052 -448
16038 8614 -14712
5835 11726 -10844
94 12015 -16104
10284 16074 -5818
4602 11728 10846
592 5966 4992
360 17334 10516
951 6008 -7972
13792 522 -3402
4671 9706 11936
19246 11749 -16270
4499 11554 -866
15452 2039 -10086
17880 4724 -15114
16722 6920 -18422
4238 6994 -9994
2848 2260 -10362
6707 5647 -8046
16592 6074 16414
4021 6161 -8108
5685 9488 -10120
15104 8603 334
15724 17534 -16076
11920 15793 15648
18636 12139 8144
3170 11522 8020
11325 1344 16806
7074 3678 764
3558 7762 -15390
11305 13730 1864
1881 15342 -16824
2690 3845 -11598
5826 19546 -13484
848 6110 -9846
6530 7185 -8264
9940 11844 16818
6663 17948 -4820
11351 1152 -856
10001 5041 1970
14060 4692 5002
10641 4144 -12168
19074 10801 5978
834 12616 10926
16740 2804 12442
4256 15085 -7342
4978 6492 -12358
7071 9734 -6984
6747 19128 -19118
11967 9791 7114
1891 18654 10680
2224 2437 -7928
11184 5104 -13152
11602 4362 -10126
10374 10098 982
1859 7662 -17004
2080 2973 15478
5699 6399 -10880
19839 11163 -10210
13432 8780 -784
12413 8497 1014
6030 15869 604
10337 13202 -14948
7760 7503 -1376
1808 14884 -15502
14666 1418 11388
4777 9970 -5554
6710 10148 -17930
465 15200 -422
3930 5138 -19072
7449 5186 4588
16749 6067 -6302
933 14021 -16254
12245 7743 17154
8791 3523 -8368
19099 9466 -7086
311 125 -14450
6706 19930 14968
1637 698 -4168
3189 7945 13702
1242 1575 10098
7703 16162 -18430
11042 10814 -11848
2637 10237 11238
13821 6493 -10336
4258 10666 330
4162 645 -3722
4281 9697 8160
10640 6632 -18290
12473 8056 -18990
8265 16236 -18466
13349 1090 5946
8151 16390 7008
9135 5403 -15332
6766 19205 15840
12059 13234 11630
4429 4826 -8018
17527 19437 -13262
13645 4901 1636
2417 7360 -1472
3132 5204 -13842
4365 6762 1990
4301 237 -11456
12659 19893 -2028
506 8993 15092
5698 9072 -9400
2741 3992 -13132
7826 18291 13966
4454 373 -17814
712 12951 -3330
8233 16326 -16544
3116 19241 15584
16066 12184 16326
1087 16243 4002
3945 11816 3072
2653 12346 -3096
947 13391 -1214
10558 5032 13996
6380 9549 1690
4358 11344 -14266
3320 6507 8468
9573 2606 3382
1977 16268 18624
11516 7067 4468
2120 11830 -10006
15041 10598 6100
2919 401 14792
5748 2062 -7966
7600 18172 18520
5344 12603 18790
3765 10380 -1542
1516 5340 14534
14699 5081 -15780
13816 2620 9968
4620 17208 274
1181 15215 698
14659 6849 462
5139 6905 -9802
757 7913 1074
8575 7913 4756
6663 8404 1116
16540 701 -1322
17973 25 -7900
7356 10528 6394
11437 3811 3904
15727 395 -746
12368 5396 -13184
7641 11700 -19394
9835 7485 5560
16989 14268 -4216
12541 3777 9204
7618 2290 -2186
7088 1182 1086
3583 2105 18588
10950 5907 -3208
3381 2798 -5808
8713 8986 -5886
9341 17556 11892
8420 12496 -1022
15025 18268 -14546
241 14437 -418
17790 15404 -3448
2361 5473 17536
6879 10672 -11334
5720 13286 5396
4946 992 12012
16718 2971 14480
8225 9944 -19838
11608 9213 -16446
2365 1043 -10306
2958 1645 1854
1753 12759 4498
12692 7698 -17066
4038 1602 2986
16898 12714 -144
2269 17923 4098
12210 8159 17296
12896 5539 -8432
17295 4248 -17816
9049 11297 -3110
4315 12928 -9168
696 17055 -19374
3757 15641 -16076
9284 8672 -8798
15249 11481 10552
2591 1329 -6094
1609 17690 6580
8775 8276 3068
3344 18952 1944
9978 9791 4588
5726 1625 13054
3019 17044 -17792
15912 11980 5234
8808 1656 -11578
18640 12667 -19228
12994 15542 -19638
7770 6901 3144
1075 9263 1902
8970 5903 -9938
5560 5673 -17250
2513 7181 -17346
16218 12311 4368
14840 18364 -19450
8314 1779 -10120
2083 4198 6662
16476 11488 18224
16647 16817 -13130
9446 1229 -3094
6185 4710 3236
905 4081 -960
3388 2350 15718
6101 12508 -18838
10940 18032 -2724
18405 9479 1142
13971 15118 1932
7046 13073 -456
18513 9844 -6478
3422 7150 10476
9594 3735 2274
9772 12484 -17942
2454 16984 30
1712 2685 -1108
2893 965 -1814
4250 8333 -17144
18349 4168 -3262
15542 7895 2194
11027 1267 -9574
9356 10499 8678
680 5468 424
10643 12223 34
8120 8651 11354
5721 5977 -18310
10407 10696 -12748
14272 2556 -4324
9421 1903 -14534
4216 7830 9528
8174 15241 -4706
13944 3598 14102
1693 10727 872
7408 7764 12190
13034 19022 17518
4034 2223 8086
10066 4333 -11218
4100 16763 -11552
15590 8036 -8468
4734 5038 -24
17192 6455 -18648
4446 7294 19050
5001 10950 -13216
4403 9160 -2250
6992 1285 -1482
14522 1079 8520
17971 8036 -17724
18264 7336 -478
808 12427 -7942
8469 5760 -1802
3160 3218 1024
2176 9985 -11556
1625 5696 1424
11543 626 -6466
10844 5460 2018
8907 6538 -12102
977 9831 15812
12638 16417 -10614
2960 3016 -16430
12842 7417 -4464
16163 8445 -2424
4268 11063 -19392
19788 627 -15284
7186 8579 -13046
9340 7107 562
11603 10224 4180
17069 4432 18204
8068 7188 10048
423 12718 -13520
3360 3863 168
19634 10646 -1330
6651 1866 -17004
13027 15404 -12100
5797 5119 -1692
7474 1096 -5076
7063 10743 -958
644 11001 8158
11722 14244 -11642
8384 6754 -13448
14633 1175 -5566
5960 8355 -8996
16822 4932 -16260
8897 9122 1756
16095 13742 -6252
7291 11034 -10952
15673 2137 17860
14605 14741 -12248
1778 11814 -858
12717 4027 -2596
1629 13464 -11522
3557 7939 -13110
9741 5256 15264
978 6526 -7324
9358 4463 -16704
12309 9852 -10750
6528 3417 -14722
9723 1821 -16696
8871 1594 -4810
11 7588 3488
7526 7223 4592
6771 9607 5336
8575 903 -13704
5462 12188 -3342
16242 15509 554
6685 3686 -5132
8499 11243 19546
3330 7122 522
12737 16307 -2944
1069 2061 -4534
3380 10533 -9516
13203 6412 3628
9243 4577 -12872
12132 6437 -17662
7379 17906 -3704
7681 7952 -13884
18954 17078 10858
8560 1945 14462
11179 11312 -6874
403 16407 -15190
5824 6765 -8106
10275 96 6610
3247 8343 -2622
9151 9810 9228
5987 992 -16584
18995 8106 -18628
9846 12149 -1368
3841 18268 1648
188 6343 -17950
5811 5006 -8106
8516 11306 -72
8218 1218 11688
5664 6066 -298
10640 9459 3480
1146 579 14266
2027 1455 -18102
3485 13381 -19298
10670 1756 -4540
10719 17883 -13700
12915 10876 19498
5961 11284 -17186
8004 5368 17386
4815 1327 -15324
197 8280 2702
7335 4256 -3340
11477 9258 9880
677 5953 778
110 6324 170
8378 626 8526
15185 8214 -8492
15269 4496 -2794
4934 4945 -1194
18894 5813 -1414
10028 1165 -12970
4972 3190 8138
6868 6285 -6202
2403 6105 4554
14558 6426 9088
475 12770 7274
4584 9226 -3516
1501 16389 -986
11707 8301 16720
9537 6935 6728
18227 18593 -16602
10 19548 -17246
10003 10151 -18464
12392 13957 -16542
1002 4167 9222
17940 13076 -1890
8621 7110 -7398
3714 8166 1270
2907 286 16828
7 9363 17808
10400 5875 16750
11893 18076 5860
18159 5023 336
10339 15403 -14678
8979 11977 10576
8644 12330 -5516
18657 18629 2428
16261 4344 3822
18901 4744 -11158
3999 1937 2050
13150 17308 -11748
2259 16952 5056
17343 8027 4314
18444 428 5190
6782 8331 18410
3014 9258 9414
1226 3685 -15008
3767 3341 -3724
7458 10240 -11088
16156 8299 -17608
10508 19314 -4252
2327 9113 -298
5679 762 -6198
4061 13453 -13948
17591 9149 -7200
17571 6627 -3748
618 15740 -8106
7053 16825 11928
4243 445 -16412
12277 19973 -11524
2932 2128 -5778
2420 18022 15234
890 6421 134
1020 10596 -10172
9672 13464 -11872
970 19546 -120
2453 7419 17882
135 18436 13876
7667 18108 -15252
10469 18145 -3396
15126 11560 1010
13968 5642 -13990
11027 1841 -4370
2311 3885 5914
1493 1280 -15990
12231 7857 1058
12532 7462 -2394
13347 3981 10266
9007 3364 13068
2784 943 -18760
19175 5748 1442
7728 1457 -3892
1981 14390 17922
19743 9386 2132
9156 14854 -16254
48 125 -15316
17041 3500 5386
9089 15317 -16418
7362 2981 10534
3394 11499 -9922
1303 11192 15446
1518 2096 5566
7253 18185 -6480
16711 5767 -1242
6857 14966 -5534
7453 15998 -4618
12807 5661 5040
5361 8389 -9668
2547 15446 -12696
12008 5960 122
8890 5777 19112
7602 11270 2728
1257 6572 -19240
9553 15987 -4018
18333 16581 16316
17794 9420 -14216
19046 10262 6936
11828 799 -10414
3470 8500 -8404
7666 13753 2170
4359 5134 -7884
6671 8256 -15838
14703 4351 -1588
19377 7119 -370
5959 4144 -14694
6030 2976 4144
19116 1306 -3650
4476 5700 2056
13980 6444 7754
1595 4052 2770
1516 2396 15276
4650 1380 -15040
1938 3055 -4898
4550 10845 -2968
9237 10786 -12236
7896 2124 14828
4902 11822 -15118
8688 2531 4326
4966 12292 2928
14770 5509 -8840
18278 4661 -3610
1437 7502 -4296
7024 8732 -7902
5762 1214 -4702
11144 14510 -4338
1210 18950 -9200
3093 9267 -1420
19805 19308 -18550
12169 14741 -11722
12429 11019 -10684
3587 9582 6250
8971 1382 -11502
1255 8251 15754
19580 13559 -13336
2803 4344 -15268
4919 13949 4592
9569 2392 -9060
15135 5395 -4966
10653 8337 -16206
4280 6266 12042
3246 18038 12116
8585 7991 -5844
4383 7415 3604
8094 8155 -7794
8347 8474 17068
11412 13447 1006
10734 1107 15658
2496 17647 -5182
2537 15190 2408
1069 5739 -9590
6268 19270 17614
36 10192 -19924
13190 5165 4742
6367 4877 16732
331 1845 -1910
17327 19264 -7656
15083 3526 2566
12707 568 -2162
14353 19026 200
17327 18407 -9216
8631 7059 1872
13384 6736 106
15981 3852 -6894
1767 5165 17556
11818 11555 1338
4510 5197 5684
6025 6489 12676
17755 787 12642
18308 2758 -19018
10697 3068 -11196
9041 3010 522
18972 2775 11298
3359 3457 -14508
11331 4056 -18918
12754 1167 16974
8885 5384 -2538
1099 8626 3440
3538 19108 11390
7159 5332 -18432
10230 11143 -16036
2025 15621 -3728
1483 6765 -18548
10625 3899 -2180
9887 2527 -9656
1962 10264 -11526
3366 14654 -19370
8325 6067 14990
5105 12198 -5314
18121 8586 4206
15588 12484 -14664
14954 7449 -4762
4465 1748 -1720
3495 9994 -7462
16509 12612 -15630
6691 8838 -16174
12061 4420 -14032
10150 10079 -4490
17775 4345 17786
9642 17400 -18124
9172 5578 8660
3272 16531 -1890
515 18866 -4772
4191 7396 -15498
5728 6131 15872
360 12997 -15810
4417 5836 4366
17215 3708 -15796
71 16803 -1462
8057 654 -1638
4822 13485 17866
16872 11260 -13400
7858 2443 10278
2079 8787 -12868
12900 19585 -2784
5741 411 5160
5404 3850 1850
6571 7532 2350
4234 4312 600
11317 2896 -11488
11710 7815 -17472
8987 8084 -9548
7477 6400 -13312
15993 13057 -1664
7674 9004 3988
10193 7826 -1792
15014 8063 -12020
6397 4307 17884
9062 5028 -4716
19571 134 -3664
10693 17780 5928
5487 11694 7002
15578 9208 -6924
2852 2038 -18498
2086 10415 19858
17886 9648 12584
1533 1031 -4332
18433 14843 19328
15738 1453 -12170
2141 6485 -16386
7052 18020 -16740
2686 8743 -3046
3321 4217 9278
2873 16165 912
8108 5173 -13294
10626 8249 -17218
13294 3776 -16140
7576 18270 10756
5554 1834 -15498
129 13284 -13418
12162 10548 -7600
12563 1602 -1042
17424 13242 -18992
12857 14459 -6324
13773 12388 1684
9588 18530 5958
18530 4485 -19884
7759 11873 -17738
11802 8954 -6168
10419 8876 18272
1784 8357 -1228
12618 6992 -10988
13433 5109 -18386
6414 2611 -15450
5734 4438 -18124
6577 19112 3464
9834 6248 1880
2088 18462 5134
13802 11497 8908
16513 9530 -8696
6503 17395 -18302
12932 3412 -19118
7581 2052 -11784
4050 276 -18078
16787 2625 10256
5570 1701 -8598
5213 6748 -19952
12043 14382 7970
6722 18978 -18374
13114 12795 -6914
1657 14325 -17496
10275 5333 3424
7272 4810 -4754
5494 3074 -7704
2334 18329 -1954
9658 3576 7844
18725 7817 -3484
1653 3476 -7002
6497 9912 5496
9751 11121 -13270
6704 2061 2744
11485 3402 -15284
9678 9568 -8772
11043 9974 4630
3939 11541 -11714
13537 5855 -10550
751 8669 -188
11270 10784 7276
9575 2423 -18214
6164 8614 -11814
16991 5970 -1254
9985 9946 -19126
5697 7446 -4190
10476 5327 -14342
17297 12089 14
11276 16909 -10914
7132 2012 -9878
10011 4533 -9372
9372 4536 10960
19921 10986 -19876
10551 10430 -6240
363 14539 3528
10154 11045 -6526
15785 10233 8252
12146 9457 -14620
9880 3207 16770
15265 6715 -4582
2998 3650 3884
1589 1191 2530
13586 9967 18320
624 4413 48
13633 1593 4620
9249 7215 18090
1428 5890 -6318
13693 19307 19166
7509 6287 -10910
6234 2348 -7610
1758 6826 6134
5165 16707 -14956
19356 1590 3802
9588 18676 10318
11354 9888 -4420
1525 10523 -3346
3448 6867 -13004
8381 16524 -19128
2222 7231 -10586
4193 10428 -19182
1861 9034 5248
13195 12131 -6016
349 14637 -12112
12290 769 -11584
9837 1446 -2984
2695 8973 -10090
8355 18214 2962
5372 11888 -16204
2732 3271 -12584
7993 8833 -3042
1200 3979 -10328
8240 10296 -5710
18470 8017 5396
469 1077 -8068
13349 11466 -11850
7846 11756 -9686
4166 8050 2058
7589 16856 -4368
558 11055 5152
9055 7552 -438
14969 11027 6508
4888 15633 17846
7007 9547 856
10329 770 4500
6090 10338 5956
7851 11191 17374
16306 3683 10210
6563 1178 -12040
10719 3422 -11018
10166 16848 -18334
11104 6588 -15804
1379 9541 -3984
596 3012 8184
16282 4718 11648
1982 8068 1534
19942 7631 788
8279 7033 -19830
1608 12742 8268
4378 15460 -374
8455 1392 4332
8324 8472 -19608
11253 3731 -2222
1270 2372 -502
323 7528 9688
5346 9598 16332
1244 3340 5474
17157 11135 -12856
219 350 18394
18942 16755 -9384
10644 3714 -15242
8292 17992 -13080
6955 6997 -7824
4518 6107 6882
